id,name,series,printedTotal,total,legalities,ptcgoCode,releaseDate,updatedAt,symbol,logo
ex9,Emerald,EX,106,107,unlimited,EM,2005/05/01,2020/02/08 09:00:00,https://images.pokemontcg.io/ex9/symbol.png,https://images.pokemontcg.io/ex9/logo.png
ex10,Unseen Forces,EX,115,145,unlimited,UF,2005/08/01,2020/08/14 09:35:00,https://images.pokemontcg.io/ex10/symbol.png,https://images.pokemontcg.io/ex10/logo.png
pop2,POP Series 2,POP,17,17,unlimited,,2005/08/01,2018/03/04 10:35:00,https://images.pokemontcg.io/pop2/symbol.png,https://images.pokemontcg.io/pop2/logo.png
ex11,Delta Species,EX,113,114,unlimited,DS,2005/10/31,2020/05/01 16:06:00,https://images.pokemontcg.io/ex11/symbol.png,https://images.pokemontcg.io/ex11/logo.png
ex12,Legend Maker,EX,92,93,unlimited,LM,2006/02/01,2018/03/04 10:35:00,https://images.pokemontcg.io/ex12/symbol.png,https://images.pokemontcg.io/ex12/logo.png
pop3,POP Series 3,POP,17,17,unlimited,,2006/04/01,2020/08/14 09:35:00,https://images.pokemontcg.io/pop3/symbol.png,https://images.pokemontcg.io/pop3/logo.png
ex13,Holon Phantoms,EX,110,111,unlimited,HP,2006/05/01,2018/03/04 10:35:00,https://images.pokemontcg.io/ex13/symbol.png,https://images.pokemontcg.io/ex13/logo.png
ex14,Crystal Guardians,EX,100,100,unlimited,CG,2006/08/01,2018/03/04 10:35:00,https://images.pokemontcg.io/ex14/symbol.png,https://images.pokemontcg.io/ex14/logo.png
pop4,POP Series 4,POP,17,17,unlimited,,2006/08/01,2020/08/14 09:35:00,https://images.pokemontcg.io/pop4/symbol.png,https://images.pokemontcg.io/pop4/logo.png
ex15,Dragon Frontiers,EX,101,101,unlimited,DF,2006/11/01,2020/08/14 09:35:00,https://images.pokemontcg.io/ex15/symbol.png,https://images.pokemontcg.io/ex15/logo.png
pop5,POP Series 5,POP,17,17,unlimited,,2007/03/01,2020/08/14 09:35:00,https://images.pokemontcg.io/pop5/symbol.png,https://images.pokemontcg.io/pop5/logo.png
ex16,Power Keepers,EX,108,108,unlimited,PK,2007/02/02,2018/03/04 10:35:00,https://images.pokemontcg.io/ex16/symbol.png,https://images.pokemontcg.io/ex16/logo.png
dp1,Diamond & Pearl,Diamond & Pearl,130,130,unlimited,DP,2007/05/01,2020/08/14 09:35:00,https://images.pokemontcg.io/dp1/symbol.png,https://images.pokemontcg.io/dp1/logo.png
dpp,DP Black Star Promos,Diamond & Pearl,56,56,unlimited,PR-DPP,2007/05/01,2020/08/14 09:35:00,https://images.pokemontcg.io/dpp/symbol.png,https://images.pokemontcg.io/dpp/logo.png
dp2,Mysterious Treasures,Diamond & Pearl,123,124,unlimited,MT,2007/08/01,2018/03/04 10:35:00,https://images.pokemontcg.io/dp2/symbol.png,https://images.pokemontcg.io/dp2/logo.png
pop6,POP Series 6,POP,17,17,unlimited,,2007/09/01,2020/05/01 16:06:00,https://images.pokemontcg.io/pop6/symbol.png,https://images.pokemontcg.io/pop6/logo.png
dp3,Secret Wonders,Diamond & Pearl,132,132,unlimited,SW,2007/11/01,2018/03/04 10:35:00,https://images.pokemontcg.io/dp3/symbol.png,https://images.pokemontcg.io/dp3/logo.png
dp4,Great Encounters,Diamond & Pearl,106,106,unlimited,GE,2008/02/01,2018/03/04 10:35:00,https://images.pokemontcg.io/dp4/symbol.png,https://images.pokemontcg.io/dp4/logo.png
pop7,POP Series 7,POP,17,17,unlimited,,2008/03/01,2018/03/04 10:35:00,https://images.pokemontcg.io/pop7/symbol.png,https://images.pokemontcg.io/pop7/logo.png
dp5,Majestic Dawn,Diamond & Pearl,100,100,unlimited,MD,2008/05/01,2018/03/04 10:35:00,https://images.pokemontcg.io/dp5/symbol.png,https://images.pokemontcg.io/dp5/logo.png
dp6,Legends Awakened,Diamond & Pearl,146,146,unlimited,LA,2008/08/01,2018/03/04 10:35:00,https://images.pokemontcg.io/dp6/symbol.png,https://images.pokemontcg.io/dp6/logo.png
pop8,POP Series 8,POP,17,17,unlimited,,2008/09/01,2018/03/04 10:35:00,https://images.pokemontcg.io/pop8/symbol.png,https://images.pokemontcg.io/pop8/logo.png
dp7,Stormfront,Diamond & Pearl,100,106,unlimited,SF,2008/11/01,2020/05/01 16:06:00,https://images.pokemontcg.io/dp7/symbol.png,https://images.pokemontcg.io/dp7/logo.png
pl1,Platinum,Platinum,127,133,unlimited,PL,2009/02/11,2020/08/14 09:35:00,https://images.pokemontcg.io/pl1/symbol.png,https://images.pokemontcg.io/pl1/logo.png
pop9,POP Series 9,POP,17,17,unlimited,,2009/03/01,2020/05/01 16:06:00,https://images.pokemontcg.io/pop9/symbol.png,https://images.pokemontcg.io/pop9/logo.png
pl2,Rising Rivals,Platinum,111,120,unlimited,RR,2009/05/16,2020/08/14 09:35:00,https://images.pokemontcg.io/pl2/symbol.png,https://images.pokemontcg.io/pl2/logo.png
pl3,Supreme Victors,Platinum,147,153,unlimited,SV,2009/08/19,2018/03/07 22:40:00,https://images.pokemontcg.io/pl3/symbol.png,https://images.pokemontcg.io/pl3/logo.png
pl4,Arceus,Platinum,99,111,unlimited,AR,2009/11/04,2021/07/15 11:30:00,https://images.pokemontcg.io/pl4/symbol.png,https://images.pokemontcg.io/pl4/logo.png
ru1,Pokémon Rumble,Other,16,16,unlimited,,2009/12/02,2019/01/28 16:44:00,https://images.pokemontcg.io/ru1/symbol.png,https://images.pokemontcg.io/ru1/logo.png
hgss1,HeartGold & SoulSilver,HeartGold & SoulSilver,123,124,unlimited,HS,2010/02/10,2018/03/04 10:35:00,https://images.pokemontcg.io/hgss1/symbol.png,https://images.pokemontcg.io/hgss1/logo.png
hsp,HGSS Black Star Promos,HeartGold & SoulSilver,25,25,unlimited,PR-HS,2010/02/10,2019/01/28 16:44:00,https://images.pokemontcg.io/hsp/symbol.png,https://images.pokemontcg.io/hsp/logo.png
hgss2,HS—Unleashed,HeartGold & SoulSilver,95,96,unlimited,UL,2010/05/12,2018/03/04 10:35:00,https://images.pokemontcg.io/hgss2/symbol.png,https://images.pokemontcg.io/hgss2/logo.png
hgss3,HS—Undaunted,HeartGold & SoulSilver,90,91,unlimited,UD,2010/08/18,2018/03/04 10:35:00,https://images.pokemontcg.io/hgss3/symbol.png,https://images.pokemontcg.io/hgss3/logo.png
hgss4,HS—Triumphant,HeartGold & SoulSilver,102,103,unlimited,TM,2010/11/03,2018/03/04 10:35:00,https://images.pokemontcg.io/hgss4/symbol.png,https://images.pokemontcg.io/hgss4/logo.png
